epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3716,accumulate_usage_plus_3718,scour_C1,scour_C2,scour_B1,scour_B2,R2,NSE,TIC,MSE,MAE,MSLE,,,
1,3.042397984,0.99,0.923066132,0.602665836,0.972403695,1.048199478,0.065393964,0.290757546,0.449316387,0.410037449,0.003887358,-153.0934781,0.860575072,2475.580082,41.67112933,6.137909596,,,
2,3.042393943,0.985423211,0.917697777,0.602623827,0.972380842,1.047747598,0.059049947,0.292214209,0.449314943,0.410034897,0.002311391,-104.3093532,0.837267975,1691.841474,34.44911774,5.39814267,,,
3,3.042391166,0.982435036,0.914182407,0.602598099,0.97236436,1.047435044,0.054060818,0.293260197,0.449314347,0.410032844,0.001483309,-78.01346871,0.817770762,1269.386425,29.81116673,4.877447974,,,
4,3.042389082,0.980250276,0.911606357,0.602580354,0.972351553,1.047198352,0.049860075,0.29407226,0.449314098,0.410031145,0.000983169,-61.08052855,0.80011541,997.3512301,26.39627688,4.466069925,,,
5,3.042387449,0.97856186,0.909611798,0.602567399,0.972341226,1.047010911,0.046204233,0.294727471,0.449314018,0.410029717,0.000659607,-49.15731883,0.783531162,805.7995768,23.7011519,4.122111595,,,
6,3.042386133,0.977212829,0.908015565,0.602557626,0.97233271,1.046858407,0.042959463,0.295268543,0.449314027,0.410028504,0.000441979,-40.291473,0.767626961,663.3658306,21.47808512,3.824604618,,,
7,3.042385054,0.97611079,0.9067097,0.602550101,0.97232558,1.046732064,0.040042079,0.295722318,0.449314081,0.410027466,0.000292404,-33.45314895,0.752178588,553.5051213,19.59113922,3.561450965,,,
8,3.042384158,0.97519626,0.905624608,0.602544233,0.972319548,1.046626038,0.037395271,0.296107058,0.449314159,0.410026574,0.000188656,-28.03924854,0.737049812,466.5284097,17.96444173,3.325016414,,,
9,3.042383405,0.974428471,0.904712531,0.602539622,0.972314403,1.046536207,0.034978175,0.296435888,0.449314245,0.410025806,0.000116839,-23.66945508,0.722157023,396.3257393,16.54550623,3.110175779,,,
10,3.042382769,0.973778155,0.90393914,0.602535986,0.972309989,1.046459537,0.03276009,0.296718637,0.449314332,0.410025143,6.78E-05,-20.09023227,0.707451279,338.823937,15.28069144,2.913328189,,,
11,3.042382228,0.973223536,0.903278868,0.602533119,0.972306186,1.046393725,0.030717144,0.296962894,0.449314413,0.41002457,3.55E-05,-17.12504756,0.692908343,291.1869293,14.14581706,2.731853622,,,
12,3.042381766,0.97274795,0.902712123,0.602530865,0.972302896,1.046336972,0.028830242,0.297174664,0.449314488,0.410024075,1.53E-05,-14.6465963,0.67852273,251.3695104,13.1386364,2.563791408,,,
13,3.04238137,0.972338348,0.902223547,0.602529106,0.972300042,1.04628785,0.027083748,0.297358793,0.449314553,0.410023647,4.34E-06,-12.56037923,0.664303908,217.8535077,12.225177,2.407639296,,,
14,3.04238103,0.971984319,0.901800876,0.602527749,0.972297562,1.046245201,0.025464596,0.297519253,0.449314609,0.410023279,1.83E-07,-10.79452637,0.650273673,189.4842983,11.39310458,2.262222128,,,
15,3.042380736,0.971677429,0.901434159,0.602526719,0.972295402,1.046208078,0.023961676,0.297659341,0.449314655,0.410022961,1.15E-06,-9.293241659,0.63646418,165.3654933,10.64089034,2.126602756,,,
16,3.042380482,0.971410754,0.901115224,0.602525957,0.972293518,1.046175693,0.022565395,0.297781825,0.449314691,0.410022689,5.95E-06,-8.012439097,0.622916297,144.788832,9.950011837,2.00001971,,,
17,3.042380263,0.971178552,0.900837283,0.602525416,0.972291874,1.046147388,0.021267356,0.297889045,0.449314718,0.410022455,1.36E-05,-6.916754935,0.60967811,127.1861799,9.315542472,1.881842435,,,
18,3.042380073,0.970976014,0.900594647,0.602525057,0.972290438,1.046122608,0.020060126,0.297982997,0.449314737,0.410022256,2.33E-05,-5.977451086,0.596803429,112.0958469,8.73844119,1.771538441,,,
19,3.042379908,0.970799085,0.900382516,0.602524846,0.972289181,1.04610088,0.018937056,0.298065393,0.449314748,0.410022087,3.45E-05,-5.170911692,0.584350243,99.13843375,8.209302374,1.668648807,,,
20,3.042379766,0.970644323,0.900196808,0.602524758,0.972288082,1.046081802,0.017892146,0.298137705,0.449314752,0.410021943,4.67E-05,-4.477543831,0.572379069,87.99917148,7.722172996,1.572769661,,,
21,3.042379641,0.970508791,0.900034039,0.60252477,0.97228712,1.046065029,0.016919937,0.298201208,0.449314749,0.410021823,5.95E-05,-3.880959358,0.560951183,78.41477729,7.27673271,1.483538091,,,
22,3.042379534,0.970389972,0.899891222,0.602524865,0.972286278,1.046050264,0.016015437,0.298257006,0.449314741,0.410021723,7.27E-05,-3.367355987,0.550126756,70.16351129,6.867008721,1.400621391,,,
23,3.04237944,0.970285701,0.899765784,0.602525026,0.97228554,1.04603725,0.01517405,0.298306061,0.449314728,0.41002164,8.60E-05,-2.925041916,0.539962917,63.05753953,6.487264404,1.323708874,,,
24,3.042379359,0.97019411,0.899655502,0.602525242,0.972284894,1.046025766,0.014391525,0.298349207,0.449314711,0.410021572,9.93E-05,-2.544065507,0.530511819,56.93698452,6.134746923,1.252505716,,,
25,3.042379288,0.970113584,0.899558455,0.602525501,0.972284327,1.046015619,0.013663923,0.298387177,0.44931469,0.410021517,0.000112415,-2.215922906,0.521818778,51.66522807,5.807966289,1.1867284,,,
26,3.042379226,0.970042723,0.899472976,0.602525796,0.972283831,1.046006641,0.012987573,0.298420607,0.449314665,0.410021474,0.000125232,-1.933324296,0.513920576,47.12515603,5.505568575,1.126101459,,,
27,3.042379173,0.969980311,0.899397615,0.602526118,0.972283396,1.045998689,0.012359054,0.298450054,0.449314638,0.410021441,0.000137685,-1.69000482,0.506844031,43.21612073,5.226799994,1.070355266,,,
28,3.042379126,0.969925292,0.899331113,0.602526461,0.972283014,1.045991634,0.01177517,0.298476005,0.449314608,0.410021416,0.000149713,-1.480569968,0.500604921,39.85145691,4.972132269,1.019224657,,,
29,3.042379086,0.969876746,0.899272373,0.602526821,0.97228268,1.045985368,0.011232928,0.298498888,0.449314577,0.410021399,0.000161276,-1.300367865,0.495207336,36.95643019,4.741073373,0.972448244,,,
30,3.042379051,0.969833874,0.899220439,0.602527193,0.972282386,1.045979793,0.010729527,0.298519075,0.449314544,0.410021388,0.000172344,-1.145382848,0.490643509,34.46652715,4.530137785,0.929768243,,,
31,3.042379021,0.969795977,0.899174476,0.602527573,0.972282129,1.045974825,0.010262341,0.298536893,0.449314509,0.410021383,0.000182902,-1.012146044,0.48689414,32.32601878,4.338939417,0.890930718,,,
32,3.042378994,0.969762447,0.899133757,0.60252796,0.972281904,1.045970393,0.00982891,0.298552629,0.449314474,0.410021383,0.00019294,-0.897659715,0.483929183,30.48674512,4.163534051,0.855686118,,,
33,3.042378971,0.969732751,0.899097647,0.602528349,0.972281706,1.04596643,0.009426929,0.298566533,0.449314437,0.410021387,0.000202458,-0.799332865,0.481709045,28.90708066,4.002456886,0.823790019,,,
34,3.042378952,0.969706426,0.899065588,0.602528741,0.972281533,1.045962881,0.009054234,0.298578825,0.4493144,0.410021394,0.000211459,-0.714926142,0.480186093,27.55104921,3.856091178,0.795003984,,,
35,3.042378934,0.969683066,0.899037097,0.602529133,0.972281381,1.045959698,0.008708802,0.298589697,0.449314363,0.410021404,0.000219954,-0.642504507,0.479306379,26.38756353,3.723891215,0.769096484,,,
36,3.04237892,0.969662317,0.899011749,0.602529524,0.972281249,1.045956837,0.008388735,0.298599319,0.449314325,0.410021417,0.000227954,-0.580396434,0.479011454,25.38976977,3.601363965,0.745843795,,,
37,3.042378907,0.96964387,0.898989171,0.602529912,0.972281132,1.045954261,0.008092257,0.298607837,0.449314288,0.410021432,0.000235475,-0.527158642,0.479240167,24.53448103,3.488852198,0.72503086,,,
38,3.042378896,0.969627452,0.898969039,0.602530299,0.972281031,1.045951936,0.007817707,0.298615381,0.44931425,0.410021449,0.000242535,-0.481545562,0.479930363,23.80168667,3.386387858,0.706452045,,,
39,3.042378887,0.969612828,0.898951067,0.602530681,0.972280942,1.045949834,0.007563532,0.298622065,0.449314212,0.410021468,0.000249151,-0.442482858,0.481020398,23.174127,3.292752448,0.689911782,,,
40,3.042378879,0.969599787,0.898935007,0.602531061,0.972280865,1.04594793,0.00732828,0.298627988,0.449314174,0.410021488,0.000255343,-0.409044438,0.48245043,22.63692396,3.206203174,0.675225081,,,
41,3.042378873,0.969588149,0.898920638,0.602531436,0.972280798,1.045946201,0.007110594,0.298633238,0.449314136,0.410021509,0.000261131,-0.380432504,0.484163467,22.17726054,3.128394893,0.662217886,,,
42,3.042378867,0.969577754,0.898907769,0.602531808,0.97228074,1.045944627,0.00690921,0.298637892,0.449314098,0.410021531,0.000266536,-0.355960212,0.486106155,21.78410231,3.0577093,0.650727295,,,
43,3.042378862,0.96956846,0.898896232,0.602532175,0.97228069,1.045943192,0.006722948,0.298642016,0.449314061,0.410021554,0.000271578,-0.335036624,0.488229329,21.44795559,2.993707144,0.640601632,,,
44,3.042378859,0.969560146,0.898885877,0.602532538,0.972280646,1.045941881,0.006550707,0.298645671,0.449314023,0.410021578,0.000276276,-0.317153639,0.490488352,21.1606575,2.936081819,0.631700379,,,
45,3.042378856,0.969552701,0.898876574,0.602532897,0.972280609,1.045940679,0.006391462,0.298648908,0.449313986,0.410021602,0.000280651,-0.301874657,0.492843259,20.91519387,2.883966555,0.623893997,,,
46,3.042378853,0.969546032,0.898868208,0.602533252,0.972280577,1.045939575,0.006244261,0.298651773,0.449313949,0.410021627,0.000284722,-0.288824745,0.495258756,20.70554125,2.835830311,0.61706363,,,
47,3.042378852,0.969540053,0.898860678,0.602533603,0.97228055,1.045938559,0.006108214,0.298654307,0.449313913,0.410021652,0.000288506,-0.277682121,0.497704093,20.52653005,2.792226107,0.611100721,,,
48,3.04237885,0.969534691,0.898853895,0.60253395,0.972280528,1.045937621,0.005982498,0.298656546,0.449313876,0.410021677,0.000292021,-0.268170776,0.500152847,20.37372607,2.752835285,0.605906557,,,
49,3.04237885,0.969529881,0.898847779,0.602534294,0.972280509,1.045936754,0.005866344,0.29865852,0.44931384,0.410021703,0.000295286,-0.260054094,0.502582639,20.24332797,2.717565929,0.601391755,,,
50,3.042378849,0.969525563,0.898842261,0.602534634,0.972280494,1.04593595,0.005759041,0.298660259,0.449313804,0.410021729,0.000298315,-0.253129336,0.504974816,20.13207866,2.68516025,0.597475706,,,
51,3.042378849,0.969521688,0.898837279,0.60253497,0.972280482,1.045935203,0.005659927,0.298661785,0.449313769,0.410021755,0.000301125,-0.247222877,0.507314106,20.03718879,2.655384492,0.594085995,,,
52,3.042378849,0.969518209,0.898832778,0.602535304,0.972280473,1.045934507,0.005568388,0.298663122,0.449313733,0.410021782,0.000303729,-0.242186098,0.509588268,19.9562707,2.628590795,0.591157808,,,
53,3.04237885,0.969515087,0.898828709,0.602535634,0.972280466,1.045933857,0.005483855,0.298664288,0.449313698,0.410021808,0.000306143,-0.237891838,0.511787748,19.8872815,2.604126373,0.588633338,,,
54,3.042378851,0.969512286,0.89882503,0.602535961,0.972280461,1.045933248,0.0054058,0.298665302,0.449313663,0.410021835,0.000308378,-0.234231345,0.51390535,19.82847406,2.581732776,0.586461202,,,
55,3.042378852,0.969509773,0.898821701,0.602536286,0.972280459,1.045932677,0.005333733,0.298666177,0.449313628,0.410021861,0.000310448,-0.231111647,0.515935916,19.77835474,2.561104709,0.584595867,,,
56,3.042378853,0.969507521,0.898818689,0.602536608,0.972280458,1.045932139,0.0052672,0.298666928,0.449313594,0.410021888,0.000312363,-0.228453295,0.517876044,19.73564713,2.542174315,0.582997113,,,
57,3.042378855,0.969505504,0.898815962,0.602536928,0.972280459,1.045931633,0.005205783,0.298667566,0.449313559,0.410021915,0.000314135,-0.226188416,0.519723819,19.69926084,2.524917847,0.581629509,,,
58,3.042378856,0.9695037,0.898813494,0.602537245,0.972280461,1.045931154,0.005149092,0.298668103,0.449313525,0.410021942,0.000315775,-0.224259048,0.521478576,19.66826469,2.508984383,0.580461932,,,
59,3.042378858,0.969502088,0.898811259,0.60253756,0.972280464,1.0459307,0.005096767,0.298668549,0.449313491,0.410021969,0.00031729,-0.222615708,0.523140685,19.64186371,2.494273947,0.579467113,,,
60,3.04237886,0.969500651,0.898809237,0.602537874,0.972280469,1.045930269,0.005048475,0.298668911,0.449313457,0.410021995,0.000318691,-0.221216165,0.524711361,19.61937942,2.480693911,0.578621216,,,
61,3.042378862,0.969499371,0.898807407,0.602538185,0.972280475,1.045929859,0.005003908,0.298669199,0.449313424,0.410022022,0.000319986,-0.220024383,0.526192502,19.60023292,2.468158484,0.577903458,,,
62,3.042378864,0.969498236,0.898805752,0.602538495,0.972280482,1.045929468,0.004962781,0.298669418,0.44931339,0.410022049,0.000321182,-0.219009626,0.527586542,19.58393039,2.456697164,0.577295756,,,
63,3.042378867,0.96949723,0.898804255,0.602538803,0.972280489,1.045929094,0.00492483,0.298669575,0.449313357,0.410022076,0.000322287,-0.218145678,0.528896325,19.57005069,2.446155486,0.576782411,,,
64,3.042378869,0.969496344,0.898802903,0.60253911,0.972280498,1.045928735,0.004889812,0.298669675,0.449313323,0.410022103,0.000323308,-0.217410191,0.530125005,19.55823475,2.436629035,0.576349819,,,
65,3.042378871,0.969495565,0.898801682,0.602539415,0.972280507,1.045928391,0.004857501,0.298669724,0.44931329,0.41002213,0.00032425,-0.216784109,0.531275949,19.54817648,2.42783784,0.575986217,,,
66,3.042378874,0.969494884,0.898800581,0.602539719,0.972280517,1.04592806,0.004827689,0.298669727,0.449313257,0.410022157,0.00032512,-0.216251196,0.532352666,19.53961499,2.419725634,0.575681452,,,
67,3.042378877,0.969494294,0.898799589,0.602540021,0.972280528,1.045927741,0.004800184,0.298669687,0.449313224,0.410022184,0.000325923,-0.215797612,0.533358741,19.53232797,2.412241484,0.575426772,,,
68,3.042378879,0.969493785,0.898798697,0.602540323,0.972280539,1.045927432,0.004774808,0.298669608,0.449313191,0.410022211,0.000326663,-0.215411569,0.534297785,19.52612601,2.405499673,0.575214654,,,
69,3.042378882,0.96949335,0.898797896,0.602540623,0.97228055,1.045927134,0.004751397,0.298669494,0.449313158,0.410022237,0.000327347,-0.215083022,0.535173392,19.52084777,2.399279501,0.575038634,,,
70,3.042378885,0.969492985,0.898797178,0.602540923,0.972280562,1.045926845,0.004729799,0.298669347,0.449313125,0.410022264,0.000327977,-0.214803418,0.535989104,19.5163558,2.393540859,0.574893171,,,
71,3.042378887,0.969492681,0.898796537,0.602541222,0.972280575,1.045926564,0.004709875,0.298669171,0.449313093,0.410022291,0.000328559,-0.214565471,0.536748383,19.51253307,2.388304366,0.574773524,,,
72,3.04237889,0.969492435,0.898795965,0.60254152,0.972280587,1.04592629,0.004691495,0.298668968,0.44931306,0.410022318,0.000329095,-0.214362977,0.537454595,19.50927992,2.383832937,0.57467564,,,
73,3.042378893,0.96949224,0.898795456,0.602541817,0.9722806,1.045926024,0.004674539,0.298668739,0.449313027,0.410022345,0.000329589,-0.214190654,0.538110987,19.50651148,2.379749782,0.574596059,,,
74,3.042378896,0.969492094,0.898795006,0.602542113,0.972280614,1.045925764,0.004658898,0.298668489,0.449312995,0.410022372,0.000330044,-0.214044006,0.538720684,19.50415551,2.375983241,0.574531837,,,
75,3.042378899,0.969491992,0.89879461,0.602542409,0.972280628,1.04592551,0.004644469,0.298668217,0.449312962,0.410022399,0.000330464,-0.213919204,0.539286673,19.50215051,2.372588854,0.574480466,,,
76,3.042378902,0.969491929,0.898794262,0.602542704,0.972280642,1.045925261,0.004631159,0.298667927,0.44931293,0.410022425,0.000330851,-0.21381299,0.539811803,19.50044413,2.369461465,0.57443982,,,
77,3.042378905,0.969491904,0.89879396,0.602542999,0.972280656,1.045925017,0.004618881,0.298667619,0.449312898,0.410022452,0.000331207,-0.213722591,0.540298781,19.49899182,2.366576821,0.574408092,,,
78,3.042378908,0.969491913,0.898793699,0.602543293,0.97228067,1.045924778,0.004607556,0.298667295,0.449312865,0.410022479,0.000331536,-0.213645646,0.540750172,19.49775567,2.363916142,0.574383757,,,
79,3.042378911,0.969491952,0.898793475,0.602543586,0.972280685,1.045924543,0.004597108,0.298666956,0.449312833,0.410022506,0.000331838,-0.213580147,0.541168403,19.4967034,2.361462095,0.574365523,,,
80,3.042378914,0.96949202,0.898793286,0.602543879,0.9722807,1.045924312,0.004587471,0.298666604,0.449312801,0.410022533,0.000332116,-0.213524385,0.541555757,19.49580757,2.359220232,0.574352303,,,
