humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
98.80,26.84,2.13,31,0.00,1002.88,0.00,69.50,4,多云,32.59,1,东北,34.89,2022-06-30T23:00:00+08:00
98.43,27.04,3.04,18,0.00,1002.70,0.00,67.25,4,多云,32.70,1,东北,35.17,2022-07-01T00:00:00+08:00
98.37,26.92,6.94,16,0.00,1002.28,0.00,41.91,4,多云,31.81,2,东北,34.91,2022-07-01T01:00:00+08:00
97.12,26.65,5.80,21,0.00,1001.83,0.00,48.12,4,多云,31.53,1,东北,33.92,2022-07-01T02:00:00+08:00
96.99,26.50,6.20,17,0.00,1001.25,0.00,54.38,4,多云,31.23,2,东北,33.58,2022-07-01T03:00:00+08:00
96.79,26.42,4.20,30,0.00,1001.03,0.00,60.69,4,多云,31.46,1,东北,33.35,2022-07-01T04:00:00+08:00
96.76,26.39,3.95,5,0.00,1000.85,0.00,34.75,0,晴,31.46,1,北,33.28,2022-07-01T05:00:00+08:00
98.12,26.37,5.05,14,0.00,1000.85,8.10,79.67,4,多云,31.33,1,东北,33.71,2022-07-01T06:00:00+08:00
98.64,26.70,5.33,5,0.00,1001.07,93.18,79.67,4,多云,31.80,1,北,34.55,2022-07-01T07:00:00+08:00
91.97,28.57,7.55,32,0.00,1001.45,232.07,64.18,4,多云,33.67,2,东北,35.93,2022-07-01T08:00:00+08:00
80.86,30.22,9.14,20,0.00,1001.54,314.08,53.79,4,多云,34.91,2,东北,34.74,2022-07-01T09:00:00+08:00
70.60,31.95,9.72,17,0.00,1001.22,700.08,36.12,0,晴,36.40,2,东北,33.47,2022-07-01T10:00:00+08:00
69.30,32.35,6.84,22,0.00,1000.78,426.75,50.74,4,多云,37.38,2,东北,33.61,2022-07-01T11:00:00+08:00
69.35,31.81,6.40,46,0.00,1000.43,239.35,91.05,9,阴,36.68,2,东北,32.62,2022-07-01T12:00:00+08:00
71.32,31.51,10.12,89,0.00,1000.14,142.96,100.00,9,阴,35.76,2,东,32.98,2022-07-01T13:00:00+08:00
82.60,30.55,4.45,128,0.00,999.50,289.49,100.00,9,阴,36.39,1,东南,36.17,2022-07-01T14:00:00+08:00
72.47,31.96,5.65,37,0.00,998.57,336.61,100.00,9,阴,37.33,1,东北,34.38,2022-07-01T15:00:00+08:00
68.48,32.06,6.99,85,0.00,997.94,435.08,97.38,9,阴,36.85,2,东,32.67,2022-07-01T16:00:00+08:00
67.70,31.48,7.09,110,0.00,997.16,58.45,48.01,4,多云,35.93,2,东南,31.25,2022-07-01T17:00:00+08:00
74.86,30.91,7.56,84,0.00,997.00,46.94,100.00,9,阴,35.68,2,东,33.46,2022-07-01T18:00:00+08:00
69.76,30.32,10.54,55,0.00,997.62,4.44,100.00,9,阴,33.85,2,东北,30.15,2022-07-01T19:00:00+08:00
77.59,29.30,7.33,27,0.00,998.48,0.00,100.00,9,阴,33.63,2,东北,31.62,2022-07-01T20:00:00+08:00
80.78,28.34,9.43,27,0.00,999.44,0.00,100.00,9,阴,32.13,2,东北,31.14,2022-07-01T21:00:00+08:00
93.28,26.97,5.62,54,0.12,1000.67,0.00,100.00,13,小雨,31.76,1,东北,33.20,2022-07-01T22:00:00+08:00
97.92,26.75,5.55,38,0.11,1000.44,0.00,100.00,13,小雨,31.78,1,东北,34.40,2022-07-01T23:00:00+08:00
96.06,26.65,10.83,27,0.00,999.33,0.00,75.03,4,多云,30.55,2,东北,33.55,2022-07-02T00:00:00+08:00
95.67,26.66,8.38,27,0.00,998.65,0.00,97.65,9,阴,30.98,2,东北,33.43,2022-07-02T01:00:00+08:00
96.80,26.06,7.52,25,0.00,997.91,0.00,98.13,9,阴,30.34,2,东北,32.65,2022-07-02T02:00:00+08:00
93.24,26.88,8.47,41,0.00,997.37,0.00,98.61,9,阴,31.12,2,东北,33.01,2022-07-02T03:00:00+08:00
90.03,27.16,9.22,29,0.00,997.19,0.00,99.10,9,阴,31.16,2,东北,32.40,2022-07-02T04:00:00+08:00
90.51,26.98,10.64,37,0.00,996.62,0.00,99.10,9,阴,30.67,2,东北,32.23,2022-07-02T05:00:00+08:00
97.59,25.86,6.81,54,0.28,997.43,1.06,100.00,13,小雨,30.23,2,东北,32.53,2022-07-02T06:00:00+08:00
97.75,26.23,9.18,17,0.00,997.71,92.75,100.00,9,阴,30.35,2,东北,33.31,2022-07-02T07:00:00+08:00
96.71,27.21,6.85,15,0.00,996.95,143.04,100.00,9,阴,32.14,2,东北,34.91,2022-07-02T08:00:00+08:00
93.31,27.72,7.30,27,0.00,997.36,99.20,100.00,9,阴,32.56,2,东北,34.70,2022-07-02T09:00:00+08:00
97.20,26.97,9.61,34,0.11,997.35,143.42,100.00,13,小雨,31.32,2,东北,34.59,2022-07-02T10:00:00+08:00
93.59,26.36,6.66,27,1.02,996.73,147.66,100.00,13,小雨,30.71,2,东北,32.13,2022-07-02T11:00:00+08:00
99.28,25.79,6.77,11,2.94,997.34,114.95,100.00,14,中雨,30.25,2,北,32.96,2022-07-02T12:00:00+08:00
100.09,25.80,7.10,44,3.44,996.84,137.85,100.00,14,中雨,30.25,2,东北,33.25,2022-07-02T13:00:00+08:00
100.18,25.69,7.39,39,4.54,995.79,140.14,100.00,14,中雨,30.05,2,东北,33.06,2022-07-02T14:00:00+08:00
99.87,25.57,4.13,91,10.05,995.29,94.82,100.00,15,大雨,30.44,1,东,32.72,2022-07-02T15:00:00+08:00
99.59,25.67,8.74,68,5.07,994.45,35.02,100.00,14,中雨,29.73,2,东北,32.83,2022-07-02T16:00:00+08:00
98.10,25.52,10.31,29,3.64,994.27,98.19,100.00,14,中雨,29.14,2,东北,32.05,2022-07-02T17:00:00+08:00
98.77,25.51,8.78,64,1.77,994.32,45.43,100.00,13,小雨,29.44,2,东北,32.25,2022-07-02T18:00:00+08:00
98.29,25.39,8.19,64,1.21,995.18,4.44,100.00,13,小雨,29.35,2,东北,31.86,2022-07-02T19:00:00+08:00
98.54,25.21,5.55,82,1.24,995.53,0.00,100.00,13,小雨,29.58,1,东,31.61,2022-07-02T20:00:00+08:00
98.96,24.93,5.41,95,5.35,996.11,0.00,100.00,14,中雨,29.23,1,东,31.22,2022-07-02T21:00:00+08:00
99.63,24.85,4.70,107,9.03,996.69,0.00,100.00,15,大雨,29.28,1,东南,31.28,2022-07-02T22:00:00+08:00
99.68,25.00,5.82,76,12.74,996.65,0.00,100.00,15,大雨,29.29,1,东北,31.57,2022-07-02T23:00:00+08:00
99.36,25.39,7.53,92,1.57,996.71,0.00,100.00,13,小雨,29.53,2,东,32.21,2022-07-03T00:00:00+08:00
99.41,25.70,10.02,136,7.05,996.52,0.00,100.00,14,中雨,29.54,2,东南,32.83,2022-07-03T01:00:00+08:00
99.08,25.93,9.64,124,1.86,995.96,0.00,100.00,13,小雨,29.92,2,东南,33.17,2022-07-03T02:00:00+08:00
99.26,25.67,10.82,121,6.55,995.08,0.00,100.00,14,中雨,29.33,2,东南,32.72,2022-07-03T03:00:00+08:00
99.31,25.59,12.52,137,7.36,995.06,0.00,100.00,14,中雨,28.92,3,东南,32.58,2022-07-03T04:00:00+08:00
99.61,25.85,16.13,141,19.21,995.25,0.00,100.00,15,大雨,28.66,3,东南,33.19,2022-07-03T05:00:00+08:00
99.48,25.77,14.32,136,10.68,995.81,1.01,100.00,15,大雨,28.86,3,东南,32.99,2022-07-03T06:00:00+08:00
99.65,25.27,14.39,125,14.24,996.30,9.99,100.00,15,大雨,28.14,3,东南,32.08,2022-07-03T07:00:00+08:00
99.86,25.49,11.45,137,8.27,996.73,35.55,100.00,15,大雨,29.00,2,东南,32.57,2022-07-03T08:00:00+08:00
99.65,25.67,6.83,133,10.55,996.97,159.68,100.00,15,大雨,30.08,2,东南,32.85,2022-07-03T09:00:00+08:00
