站点编号,观测时间,存储时间,日降水量(毫米),当前降水量(毫米),1分钟时段降水量(毫米),5分钟时段降水量(毫米),10分钟时段降水量(毫米),30分钟时段降水量(毫米),降水量累计值(毫米),信号强度(百分比),电量(百分比),电源电压(伏特),报警信息
201330014,2022/6/30 23:05,2022/6/30 23:05,,17.5,0,0,,,1989.5,75,0,0.3,131
201330014,2022/6/30 22:05,2022/6/30 22:05,,17.5,0,0,,,1989.5,81,0,0.3,131
201330014,2022/6/30 21:05,2022/6/30 21:05,,17.5,0,0,,,1989.5,78,0,0.3,131
201330014,2022/6/30 20:05,2022/6/30 20:05,,17.5,0,0,,,1989.5,81,0,0.3,131
201330014,2022/6/30 19:05,2022/6/30 19:05,,17.5,0,0,,,1989.5,78,0,0.3,131
201330014,2022/6/30 18:05,2022/6/30 18:05,,17.5,0,0,,,1989.5,84,0,0.3,131
201330014,2022/6/30 17:05,2022/6/30 17:05,,17.5,0,0,,,1989.5,75,0,0.3,131
201330014,2022/6/30 16:05,2022/6/30 16:05,,17.5,0,0,,,1989.5,81,0,0.3,131
201330014,2022/6/30 15:05,2022/6/30 15:05,,17,0,0,,,1989,81,0,0.3,131
201330014,2022/6/30 14:05,2022/6/30 14:05,,17,0,0,,,1989,81,0,0.3,131
201330014,2022/6/30 13:05,2022/6/30 13:05,,16.5,0,0,,,1988.5,78,0,0.3,131
201330014,2022/6/30 12:05,2022/6/30 12:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/30 11:05,2022/6/30 11:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/30 10:05,2022/6/30 10:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/30 9:05,2022/6/30 9:05,,0,0,0,,,1972,71,0,0.3,131
201330014,2022/6/30 8:05,2022/6/30 8:05,,0,0,0,,,1972,71,0,0.3,131
201330014,2022/6/30 7:05,2022/6/30 7:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/30 6:05,2022/6/30 6:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/30 5:05,2022/6/30 5:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/30 4:05,2022/6/30 4:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/30 3:05,2022/6/30 3:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/30 2:05,2022/6/30 2:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/30 1:05,2022/6/30 1:05,,0,0,0,,,1972,71,0,0.3,131
201330014,2022/6/30 0:05,2022/6/30 0:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/29 23:05,2022/6/29 23:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/29 22:05,2022/6/29 22:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 21:05,2022/6/29 21:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 20:05,2022/6/29 20:05,,0,0,0,,,1972,87,0,0.3,131
201330014,2022/6/29 19:05,2022/6/29 19:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 18:05,2022/6/29 18:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 17:05,2022/6/29 17:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/29 16:05,2022/6/29 16:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 15:05,2022/6/29 15:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 14:05,2022/6/29 14:05,,0,0,0,,,1972,71,0,0.3,131
201330014,2022/6/29 13:05,2022/6/29 13:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 12:05,2022/6/29 12:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 11:05,2022/6/29 11:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/29 10:05,2022/6/29 10:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/29 9:05,2022/6/29 9:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 8:05,2022/6/29 8:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/29 7:05,2022/6/29 7:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 6:05,2022/6/29 6:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 5:05,2022/6/29 5:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/29 4:05,2022/6/29 4:05,,0,0,0,,,1972,71,0,0.3,131
201330014,2022/6/29 3:05,2022/6/29 3:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 2:05,2022/6/29 2:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/29 1:05,2022/6/29 1:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/29 0:05,2022/6/29 0:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/28 23:05,2022/6/28 23:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/28 22:05,2022/6/28 22:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 21:05,2022/6/28 21:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/28 20:05,2022/6/28 20:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 19:05,2022/6/28 19:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 18:05,2022/6/28 18:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 17:05,2022/6/28 17:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 16:05,2022/6/28 16:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 15:05,2022/6/28 15:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 14:05,2022/6/28 14:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/28 13:05,2022/6/28 13:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 12:05,2022/6/28 12:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 11:05,2022/6/28 11:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/28 10:05,2022/6/28 10:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 9:05,2022/6/28 9:05,,0,0,0,,,1972,84,0,0.3,131
201330014,2022/6/28 8:05,2022/6/28 8:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 7:05,2022/6/28 7:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/28 6:05,2022/6/28 6:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 5:05,2022/6/28 5:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 4:05,2022/6/28 4:05,,0,0,0,,,1972,71,0,0.3,131
201330014,2022/6/28 3:05,2022/6/28 3:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 2:05,2022/6/28 2:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 1:05,2022/6/28 1:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/28 0:05,2022/6/28 0:05,,0,0,0,,,1972,84,0,0.3,131
201330014,2022/6/27 23:05,2022/6/27 23:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 22:05,2022/6/27 22:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/27 21:05,2022/6/27 21:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/27 20:05,2022/6/27 20:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/27 19:05,2022/6/27 19:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 18:05,2022/6/27 18:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/27 17:05,2022/6/27 17:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 16:05,2022/6/27 16:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 15:05,2022/6/27 15:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/27 14:05,2022/6/27 14:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 13:05,2022/6/27 13:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 12:05,2022/6/27 12:05,,0,0,0,,,1972,81,0,0.3,131
201330014,2022/6/27 11:05,2022/6/27 11:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 10:05,2022/6/27 10:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/27 9:05,2022/6/27 9:05,,0,0,0,,,1972,75,0,0.3,131
201330014,2022/6/27 8:05,2022/6/27 8:05,,0,0,0,,,1972,78,0,0.3,131
201330014,2022/6/27 7:05,2022/6/27 7:05,,1,0,0,,,1972,75,0,0.3,131
201330014,2022/6/27 6:05,2022/6/27 6:05,,1,0,0,,,1972,75,0,0.3,131
201330014,2022/6/27 5:05,2022/6/27 5:05,,1,0,0,,,1972,75,0,0.3,131
201330014,2022/6/27 4:05,2022/6/27 4:05,,1,0,0,,,1972,71,0,0.3,131
201330014,2022/6/27 3:05,2022/6/27 3:05,,1,0,0,,,1972,75,0,0.3,131
201330014,2022/6/27 2:05,2022/6/27 2:05,,1,0,0,,,1972,71,0,0.3,131
201330014,2022/6/27 1:05,2022/6/27 1:05,,1,0,0,,,1972,68,0,0.3,131
201330014,2022/6/27 0:05,2022/6/27 0:05,,1,0,0,,,1972,75,0,0.3,131
201330014,2022/6/26 23:05,2022/6/26 23:05,,1,0,0,,,1972,71,0,0.3,131
201330014,2022/6/26 22:05,2022/6/26 22:05,,1,0,0,,,1972,75,0,0.3,131
201330014,2022/6/26 21:05,2022/6/26 21:05,,1,0,0,,,1972,78,0,0.3,131
201330014,2022/6/26 20:05,2022/6/26 20:05,,1,0,0,,,1972,78,0,0.3,131
201330014,2022/6/26 19:05,2022/6/26 19:05,,1,0,0,,,1972,78,0,0.3,131
201330014,2022/6/26 18:05,2022/6/26 18:05,,0.5,0,0,,,1971.5,78,0,0.3,131
201330014,2022/6/26 17:05,2022/6/26 17:05,,0.5,0,0,,,1971.5,78,0,0.3,131
201330014,2022/6/26 16:05,2022/6/26 16:05,,0.5,0,0,,,1971.5,71,0,0.3,131
201330014,2022/6/26 15:05,2022/6/26 15:05,,0,0,0,,,1971,71,0,0.3,131
201330014,2022/6/26 14:05,2022/6/26 14:05,,0,0,0,,,1971,78,0,0.3,131
201330014,2022/6/26 13:05,2022/6/26 13:05,,0,0,0,,,1971,78,0,0.3,131
201330014,2022/6/26 12:05,2022/6/26 12:05,,0,0,0,,,1971,78,0,0.3,131
201330014,2022/6/26 11:05,2022/6/26 11:05,,0,0,0,,,1971,71,0,0.3,131
201330014,2022/6/26 10:05,2022/6/26 10:05,,0,0,0,,,1971,71,0,0.3,131
201330014,2022/6/26 9:05,2022/6/26 9:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/26 8:05,2022/6/26 8:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/26 7:05,2022/6/26 7:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/26 6:05,2022/6/26 6:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/26 5:05,2022/6/26 5:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/26 4:05,2022/6/26 4:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/26 3:05,2022/6/26 3:05,,0,0,0,,,1971,71,0,0.3,131
201330014,2022/6/26 2:05,2022/6/26 2:05,,0,0,0,,,1971,84,0,0.3,131
201330014,2022/6/26 1:05,2022/6/26 1:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/26 0:05,2022/6/26 0:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 23:05,2022/6/25 23:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 22:05,2022/6/25 22:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 21:05,2022/6/25 21:05,,0,0,0,,,1971,81,0,0.3,131
201330014,2022/6/25 20:05,2022/6/25 20:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 19:05,2022/6/25 19:05,,0,0,0,,,1971,71,0,0.3,131
201330014,2022/6/25 18:05,2022/6/25 18:05,,0,0,0,,,1971,84,0,0.3,131
201330014,2022/6/25 17:05,2022/6/25 17:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 16:05,2022/6/25 16:05,,0,0,0,,,1971,81,0,0.3,131
201330014,2022/6/25 15:05,2022/6/25 15:05,,0,0,0,,,1971,81,0,0.3,131
201330014,2022/6/25 14:05,2022/6/25 14:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 13:05,2022/6/25 13:05,,0,0,0,,,1971,78,0,0.3,131
201330014,2022/6/25 12:05,2022/6/25 12:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 11:05,2022/6/25 11:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 10:05,2022/6/25 10:05,,0,0,0,,,1971,71,0,0.3,131
201330014,2022/6/25 9:05,2022/6/25 9:05,,0,0,0,,,1971,75,0,0.3,131
201330014,2022/6/25 8:05,2022/6/25 8:05,,0,0,0,,,1971,78,0,0.3,131
