站点编号,观测时间,存储时间,累计流量1(立方米),流量计1安装高度(米),小时水量1(立方米/小时),信号强度(百分比),浊度1(度),流速1(米/秒),电量(百分比),电源电压(伏特),水位计1安装高度(米),水位1(米),报警信息
0201330008,2022-06-13 14:15:00,2022-06-13 14:15:16,5020.22540,0.040,0.000,56,11.5,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 14:10:00,2022-06-13 14:10:19,5020.22540,0.040,0.000,53,6.3,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 14:05:00,2022-06-13 14:05:14,5020.22540,0.040,0.000,50,18.8,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 14:00:00,2022-06-13 14:00:17,5020.22540,0.040,0.000,50,20.6,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 13:55:00,2022-06-13 13:55:20,5020.22540,0.040,0.000,50,28.2,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 13:50:00,2022-06-13 13:50:15,5020.22540,0.040,0.000,50,31.9,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 13:45:00,2022-06-13 13:45:19,5020.22540,0.040,0.000,56,23.8,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 13:40:00,2022-06-13 13:40:18,5020.22540,0.040,0.000,56,16.5,0.000,0.0,0.30,0.000,0.091,131
0201330008,2022-06-13 13:35:00,2022-06-13 13:35:19,5020.22540,0.040,0.000,56,20.6,0.000,0.0,0.30,0.000,0.091,131
0201330008,2022-06-13 13:30:00,2022-06-13 13:30:18,5020.22540,0.040,0.000,56,38.6,0.000,0.0,0.30,0.000,0.095,131
0201330008,2022-06-13 13:25:00,2022-06-13 13:25:19,5020.22540,0.040,0.000,53,32.5,0.000,0.0,0.30,0.000,0.091,131
0201330008,2022-06-13 13:20:00,2022-06-13 13:20:19,5020.22540,0.040,0.000,56,32.5,0.000,0.0,0.30,0.000,0.091,131
0201330008,2022-06-13 13:15:00,2022-06-13 13:15:18,5020.22540,0.040,0.000,56,20.3,0.000,0.0,0.30,0.000,0.091,131
0201330008,2022-06-13 13:10:00,2022-06-13 13:10:20,5020.22540,0.040,0.000,56,15.1,0.000,0.0,0.30,0.000,0.091,131
0201330008,2022-06-13 13:05:00,2022-06-13 13:05:16,5020.22540,0.040,0.000,53,8.8,0.000,0.0,0.30,0.000,0.091,131
0201330008,2022-06-13 13:00:00,2022-06-13 13:00:17,5020.22540,0.040,0.000,53,8.9,0.000,0.0,0.30,0.000,0.095,131
