站点编号,观测时间,存储时间,小时水量1(立方米/小时),信号强度(百分比),浊度1(度),流速1(米/秒),电源电压(伏特),水位1(米),报警信息
0210150006,2022-04-30 23:55:00,2022-04-30 23:55:20,91.748,84,2.4,0.042,12.72,0.148,129
0210150006,2022-04-30 23:50:00,2022-04-30 23:48:03,53.726,84,2.3,0.026,12.74,0.140,129
0210150006,2022-04-30 23:45:00,2022-04-30 23:43:03,62.346,87,2.3,0.032,12.73,0.132,129
0210150006,2022-04-30 23:40:00,2022-04-30 23:38:03,89.563,90,2.2,0.041,12.73,0.148,129
0210150006,2022-04-30 23:35:00,2022-04-30 23:33:03,39.320,87,2.5,0.018,12.75,0.148,129
0210150006,2022-04-30 23:30:00,2022-04-30 23:28:00,181.311,81,2.8,0.083,12.75,0.148,129
0210150006,2022-04-30 23:25:00,2022-04-30 23:23:04,56.206,81,3.4,0.028,12.74,0.136,129
0210150006,2022-04-30 23:20:00,2022-04-30 23:18:05,33.269,78,3.5,0.014,12.74,0.161,129
0210150006,2022-04-30 23:15:00,2022-04-30 23:13:04,48.885,84,3.6,0.023,12.73,0.144,129
0210150006,2022-04-30 23:10:00,2022-04-30 23:08:05,24.796,84,3.6,0.012,12.75,0.140,129
0210150006,2022-04-30 23:05:00,2022-04-30 23:05:21,33.121,78,3.5,0.017,12.75,0.132,129
0210150006,2022-04-30 23:00:00,2022-04-30 23:00:19,0.000,78,3.4,0.000,12.75,0.148,129
0210150006,2022-04-30 22:55:00,2022-04-30 22:53:05,0.000,81,3.4,0.000,12.75,0.132,129
0210150006,2022-04-30 22:50:00,2022-04-30 22:48:03,0.000,84,3.4,0.000,12.75,0.144,129
0210150006,2022-04-30 22:45:00,2022-04-30 22:45:24,0.000,84,3.4,0.000,12.75,0.128,129
0210150006,2022-04-30 22:40:00,2022-04-30 22:40:19,0.000,87,3.4,0.000,12.75,0.148,129
0210150006,2022-04-30 22:35:00,2022-04-30 22:33:04,0.000,84,3.4,0.000,12.75,0.136,129
0210150006,2022-04-30 22:30:00,2022-04-30 22:30:21,0.000,90,3.4,0.000,12.75,0.140,129
0210150006,2022-04-30 22:25:00,2022-04-30 22:23:02,0.000,81,3.5,0.000,12.75,0.132,129
0210150006,2022-04-30 22:20:00,2022-04-30 22:18:04,0.000,81,3.2,0.000,12.75,0.153,129
0210150006,2022-04-30 22:15:00,2022-04-30 22:13:11,0.000,84,3.5,0.000,12.75,0.161,129
0210150006,2022-04-30 22:10:00,2022-04-30 22:08:03,0.000,81,3.7,0.000,12.75,0.148,129
0210150006,2022-04-30 22:05:00,2022-04-30 22:03:05,0.000,81,3.6,0.000,12.75,0.144,129
0210150006,2022-04-30 22:00:00,2022-04-30 22:00:21,0.000,81,3.7,0.000,12.77,0.132,129
0210150006,2022-04-30 21:55:00,2022-04-30 21:53:04,0.000,84,3.6,0.000,12.76,0.140,129
0210150006,2022-04-30 21:50:00,2022-04-30 21:48:02,0.000,78,3.6,0.000,12.75,0.140,129
0210150006,2022-04-30 21:45:00,2022-04-30 21:45:24,0.000,81,3.6,0.000,12.75,0.140,129
0210150006,2022-04-30 21:40:00,2022-04-30 21:38:02,0.000,75,3.5,0.000,12.75,0.148,129
0210150006,2022-04-30 21:35:00,2022-04-30 21:35:23,0.000,84,3.4,0.000,12.75,0.148,129
0210150006,2022-04-30 21:30:00,2022-04-30 21:30:23,0.000,84,3.8,0.000,12.75,0.153,129
0210150006,2022-04-30 21:25:00,2022-04-30 21:23:10,0.000,84,3.3,0.000,12.76,0.140,129
0210150006,2022-04-30 21:20:00,2022-04-30 21:20:22,8.737,84,3.1,0.004,12.75,0.148,129
0210150006,2022-04-30 21:15:00,2022-04-30 21:13:02,0.000,84,3.2,0.000,12.75,0.136,129
