站点编号,观测时间,存储时间,1小时时段降水量(毫米),日降水量(毫米),当前降水量(毫米),1分钟时段降水量(毫米),5分钟时段降水量(毫米),10分钟时段降水量(毫米),30分钟时段降水量(毫米),降水量累计值(毫米),小时水量1(立方米/小时),信号强度(百分比),浊度1(度),电源电压(伏特),水位1(米),报警信息
0210150002,2022-09-25 23:55:00,2022-09-25 23:55:22,,,0.0,0.0,0.0,,,3165.5,0.000,90,43.9,12.96,0.033,129
0210150002,2022-09-25 23:50:00,2022-09-25 23:50:23,,,0.0,0.0,0.0,0.0,,3165.5,0.000,84,43.9,12.98,0.032,129
0210150002,2022-09-25 23:45:00,2022-09-25 23:45:25,,,0.0,0.0,0.0,,,3165.5,0.000,90,43.9,12.98,0.031,129
0210150002,2022-09-25 23:40:00,2022-09-25 23:40:22,,,0.0,0.0,0.0,0.0,,3165.5,0.000,84,43.9,12.98,0.031,129
0210150002,2022-09-25 23:35:00,2022-09-25 23:35:24,,,0.0,0.0,0.0,,,3165.5,0.000,87,43.9,12.97,0.031,129
0210150002,2022-09-25 23:30:00,2022-09-25 23:30:22,,,0.0,0.0,0.0,0.0,0.0,3165.5,0.000,90,43.9,12.97,0.032,129
0210150002,2022-09-25 23:25:00,2022-09-25 23:25:31,,,0.0,0.0,0.0,,,3165.5,0.000,90,43.9,12.97,0.031,129
0210150002,2022-09-25 23:20:00,2022-09-25 23:20:26,,,0.0,0.0,0.0,0.0,,3165.5,0.000,84,43.9,12.98,0.031,129
0210150002,2022-09-25 23:15:00,2022-09-25 23:15:24,,,0.0,0.0,0.0,,,3165.5,0.000,84,43.8,12.98,0.034,129
0210150002,2022-09-25 23:10:00,2022-09-25 23:10:23,,,0.0,0.0,0.0,0.0,,3165.5,0.000,90,43.9,12.98,0.035,129
0210150002,2022-09-25 23:05:00,2022-09-25 23:05:21,,,0.0,0.0,0.0,,,3165.5,0.000,71,43.9,12.98,0.033,129
0210150002,2022-09-25 23:00:00,2022-09-25 23:00:22,,,0.0,0.0,0.0,0.0,0.0,3165.5,0.000,84,43.9,12.98,0.030,129
0210150002,2022-09-25 22:55:00,2022-09-25 22:55:25,,,0.0,0.0,0.0,,,3165.5,0.000,84,43.9,12.98,0.025,129
