OBJECTID,greenland,water,impervious,class,lat,lon,area,green_area,blockId,name,slope,id,Shape_Length,Shape_Area,greenland_5m
1,0.421591805,0.395587076,0.182821119,other,22.87512063,113.552369,1063564.008,5.743215862,1,panyu,11.98138905,5,4427.803592,1063564.008,0.0536357
2,0.106606607,0.57957958,0.313813814,other,22.88118397,113.5520534,562367.6274,1.660694989,2,panyu,7.717521191,5,3386.22974,562367.6274,0.029331953
3,0.673521851,0.187660668,0.138817481,green_zone,22.88238199,113.3083356,329035.5798,1.621128264,3,panyu,5.597748756,2,2444.798057,329035.5798,0.048934664
4,0.487276155,0.122525919,0.390197926,other,22.8833117,113.3000757,894595.3861,4.946847425,4,panyu,7.717521191,2,5174.280844,894595.3861,0.05492362
5,0.249061327,0.269086358,0.481852315,other,22.87599877,113.5449593,670727.0577,3.825085463,5,panyu,4.982397079,5,5937.082602,670727.0577,0.056666388
6,0.154411765,0.274509804,0.571078431,other,22.88246658,113.5358593,343044.6384,1.890242402,6,panyu,3.468163967,5,2838.084683,343044.6384,0.054715755
7,0.218390805,0.264367816,0.517241379,other,22.88251184,113.5396251,292888.7158,1.65525834,7,panyu,2.453860283,5,2435.955903,292888.7158,0.056132169
8,0.198076923,0.307692308,0.494230769,other,22.88429207,113.5483301,436676.2505,1.831748083,8,panyu,4.26666069,5,3792.865843,436676.2505,0.041664758
9,0.167919799,0.428571429,0.403508772,other,22.88390131,113.5426347,334250.3643,1.806075017,9,panyu,2.618016005,5,2424.750206,334250.3643,0.053668446
10,0.75,0.021428571,0.228571429,green_zone,22.88569334,113.3077326,234203.0881,1.278317325,10,panyu,2.996735573,2,2052.186582,234203.0881,0.054211338
11,0.09403255,0.021699819,0.884267631,business_zone,22.88762614,113.2967149,463442.919,1.282243794,11,panyu,4.320264339,2,5766.468877,463442.919,0.027480791
12,0.43296433,0.308118081,0.258917589,other,22.88592435,113.3154283,1365337.031,11.19063773,12,panyu,7.226096153,2,7517.248842,1365337.031,0.081411965
13,0.495016611,0.029900332,0.475083056,other,22.88961291,113.3055311,253606.6909,1.773153085,13,panyu,4.383710861,2,3303.025,253606.6909,0.069447402
14,0.24744898,0.056122449,0.696428571,other,22.8908398,113.3011186,331163.0333,0.661861707,14,panyu,5.703068256,2,2404.647818,331163.0333,0.019851132
15,0.162729659,0.018372703,0.818897638,business_zone,22.8925383,113.2970277,321864.425,0.751767777,15,panyu,4.090340137,2,2743.220996,321864.425,0.023199167
16,0.077348066,0.477900552,0.444751381,other,22.88633081,113.5325298,305502.5824,0.896443054,16,panyu,2.216052771,5,2302.420419,305502.5824,0.029144804
17,0.203423968,0.284994965,0.511581067,other,22.89105928,113.5299831,836240.5686,4.003790138,17,panyu,3.057784796,5,3639.592651,836240.5686,0.047555953
18,0.330396476,0.059471366,0.610132159,university_zone,22.89381461,113.2860892,380190.8799,1.26794742,18,panyu,10.38618279,2,2784.26538,380190.8799,0.033126327
19,0.133507853,0.586387435,0.280104712,other,22.89717482,113.4929816,320414.049,1.473533305,19,panyu,10.06018543,13,5214.607404,320414.049,0.045678261
20,0.456563707,0.212355212,0.331081081,other,22.89200747,113.3365595,871003.7512,6.14140008,20,panyu,15.7759161,3,4211.384997,871003.7512,0.070033076
21,0.459317585,0.062992126,0.477690289,other,22.89027443,113.329468,320121.8004,1.160623936,21,panyu,14.88344955,3,6475.469524,320121.8004,0.036010483
22,0.05400982,0.006546645,0.939443535,business_zone,22.89522594,113.2917224,512376.8026,0.839458916,22,panyu,24.81194305,2,3999.010134,512376.8026,0.016272602
23,0.098360656,0.076502732,0.825136612,business_zone,22.89793917,113.356,153428.9362,0.474599344,23,panyu,3.96450901,9,1993.103925,153428.9362,0.030723108
24,0.1711146,0.028257457,0.800627943,business_zone,22.89436916,113.3478862,539928.785,1.901719772,24,panyu,11.66279316,3,6567.456682,539928.785,0.0349841
25,0.810035842,0.069892473,0.120071685,green_zone,22.89828141,113.2841655,472626.6525,1.735700613,25,panyu,20.76789665,8,3109.51865,472626.6525,0.036477122
26,0.041841004,0,0.958158996,industrial_zone,22.89809818,113.3359155,201575.8463,0.265691062,26,panyu,4.135135174,9,2304.08558,201575.8463,0.013091122
27,0.323943662,0,0.676056338,university_zone,22.89912333,113.3533572,240833.2503,0.680789301,27,panyu,3.560079336,9,2644.095493,240833.2503,0.028075566
28,0.02,0,0.98,industrial_zone,22.90205059,113.3422669,334329.4733,0.276161646,28,panyu,5.372242928,9,2764.645068,334329.4733,0.008203634
